Soil	Energy	TOF	F1	W_Opt	Dry_Opt	Dry	W
A	1	0.002531299	2.250354703	0.1120	1.965	1.894739705	0.07631635
A	1	0.001918006	2.488097167	0.1120	1.965	1.934844437	0.09603073
A	1	0.002132854	2.868659144	0.1120	1.965	1.966078143	0.119542066
A	1	0.002632864	2.735338924	0.1120	1.965	1.957691618	0.131622713
A	1	0.002054728	2.855574638	0.1120	1.965	1.89600099	0.143856794
A	2	0.001609406	2.152332249	0.0940	2.065	2.016690673	0.057142857
A	2	0.001351589	2.107249485	0.0940	2.065	2.046016873	0.069455104
A	2	0.001312526	2.110104148	0.0940	2.065	2.054876802	0.093951094
A	2	0.002289107	3.886146851	0.0940	2.065	2.056145868	0.109942639
A	2	0.002722709	2.751760531	0.0940	2.065	1.972427306	0.13374411
A	3	0.002191449	2.041690896	0.0805	2.135	2.078826071	0.045409015
A	3	0.001546905	1.981660564	0.0805	2.135	2.123278594	0.078056951
A	3	0.001507842	3.341051294	0.0805	2.135	2.128902	0.099105071
A	3	0.002261763	2.514569498	0.0805	2.135	2.064291765	0.115255188
