Soil;Energy;TOF;F1;W_Opt;Dry_Opt;Dry;W
S;1;0.002531299;2.250354703;0.112;1.965;1.894739705;0.07631635
S;1;0.001918006;2.488097167;0.112;1.965;1.934844437;0.09603073
S;1;0.002632864;2.735338924;0.112;1.965;1.957691618;0.131622713
S;2;0.001609406;2.152332249;0.094;2.065;2.016690673;0.057142857
S;2;0.001351589;2.107249485;0.094;2.065;2.046016873;0.069455104
S;2;0.001312526;2.110104148;0.094;2.065;2.054876802;0.093951094
S;2;0.002722709;2.751760531;0.094;2.065;1.972427306;0.13374411
S;3;0.002191449;2.041690896;0.0805;2.135;2.078826071;0.045409015
S;3;0.001546905;1.981660564;0.0805;2.135;2.123278594;0.078056951
S;3;0.001507842;3.341051294;0.0805;2.135;2.128902;0.099105071
S;3;0.002261763;2.514569498;0.0805;2.135;2.064291765;0.115255188
S;2;0.002289107;3.886146851;0.094;2.065;2.056145868;0.109942639
C;2;0.001254907;2.04176222;0.15;1.795;1.789430617;0.145248869
C;1;0.001527374;2.565068213;0.181;1.67;1.660557081;0.16222031
C;1;0.002890681;3.718800418;0.181;1.67;1.661585943;0.19980315
C;1;0.003125061;3.384368176;0.181;1.67;1.506863699;0.266918585
C;2;0.001269556;2.015888043;0.15;1.795;1.741579267;0.106317935
C;2;0.001464872;2.030662349;0.15;1.795;1.806194734;0.16490566
C;3;0.001207055;2.661070183;0.145;1.82;1.774361562;0.09043659
C;3;0.001101584;2.332144928;0.145;1.82;1.820298853;0.150851582
C;3;0.001398465;2.963917114;0.145;1.82;1.763673809;0.185508118
C;3;0.002300826;4.120947298;0.145;1.82;1.64282503;0.224776939
M;1;0.001847692;1.924670786;0.21;1.54;1.371360302;0.113029827
M;1;0.001731805;2.418686063;0.21;1.54;1.453772708;0.142613636
M;1;0.002656302;2.497679595;0.21;1.54;1.52644833;0.246062154
M;1;0.00309381;3.336538027;0.21;1.54;1.372311344;0.295127353
M;2;0.001621125;2.2330826;0.172;1.665;1.562097126;0.110797238
M;2;0.001582062;2.207359387;0.172;1.665;1.652884988;0.160145889
M;2;0.001742222;2.23640379;0.172;1.665;1.664219087;0.188823959
M;3;0.001207055;2.195333935;0.16;1.76;1.725712965;0.132277228
M;3;0.001441434;2.309412665;0.16;1.76;1.759103654;0.159789947
M;3;0.002027383;2.387371693;0.16;1.76;1.709105744;0.188113949
M;2;0.001352014;2.167406545;0.139119937;1.69828659;1.658429162;0.118434093
M;3;0.00133168;1.953174925;0.133;1.775;1.763728135;0.118052257
M;3;0.001265013;1.790321503;0.133;1.775;1.68226891;0.096678108
M;3;0.001237512;1.997167205;0.133;1.775;1.648373396;0.080713111
M;1;0.001817518;2.277630487;0.18;1.62;1.49046896;0.134604427
M;1;0.001450015;1.685209083;0.18;1.62;1.529434452;0.140280299
M;1;0.001626683;1.394581916;0.18;1.62;1.547507454;0.151569507
M;3;0.001324013;3.457818917;0.133;1.775;1.777242199;0.143086172
M;3;0.001484015;3.980318917;0.133;1.775;1.695126335;0.172792564
M;3;0.001578349;3.150206526;0.133;1.775;1.632178458;0.186343754
M;1;0.001686017;1.911552017;0.18;1.62;1.609004869;0.165560285
M;2;0.001413347;2.885339332;0.139119937;1.69828659;1.686719037;0.132973325
M;2;0.001525015;1.906780696;0.139119937;1.69828659;1.678484888;0.155787641
M;1;0.001890019;1.61931087;0.18;1.62;1.480677915;0.115890411
M;1;0.001750018;2.158985219;0.18;1.62;1.606030255;0.194704466
M;2;0.00256255;3.476480491;0.172;1.665;1.51631111;0.241618497
M;3;0.002355515;2.770016714;0.16;1.76;1.555828905;0.223899371
S;1;0.002132854;2.868659144;0.112;1.965;1.966078143;0.119542066
S;1;0.002054728;2.855574638;0.112;1.965;1.89600099;0.143856794
C;1;0.001601594;2.495753062;0.181;1.67;1.574778323;0.116990641
C;2;0.001777378;2.883090712;0.15;1.795;1.5456713;0.228499686
M;1;0.001660189;2.068764776;0.21;1.54;1.51616259;0.19204244
M;2;0.001455015;2.254059143;0.139119937;1.69828659;1.601954609;0.169350649

