#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD1806
#Date Time: 2023-11-30 21:49:39.920
#Sample rate: 884956Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 135 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 14 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 35 mV Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.003197147067228954,-0.002889337082078986,-0.0007474507088438831
-0.003196017067228954,-0.0035658999330266,-0.000747450708843729
-0.003194887067228955,-0.0035658999330266,-0.0004086567321277768
-0.003193757067228954,-0.003227618507552793,-0.0004086567321276227
-0.003192627067228954,-0.002889337082078986,-0.001086244685560143
-0.003191497067228954,-0.002889337082078986,-0.0004086567321277768
-0.003190367067228955,-0.002889337082078986,-0.0007474507088438831
-0.003189237067228954,-0.00255105565660518,-0.0007474507088438831
-0.003188107067228954,-0.002889337082078986,-0.0007474507088438831
-0.003186977067228955,-0.003227618507552639,-6.986275541167046e-05
-0.003185847067228955,-0.002889337082078986,-0.0004086567321276227
-0.003184717067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003183587067228954,-0.002889337082078986,-0.0004086567321276227
-0.003182457067228955,-0.003227618507552639,-0.0004086567321276227
-0.003181327067228954,-0.00255105565660518,-0.0007474507088438831
-0.003180197067228954,-0.002889337082078986,-0.0004086567321276227
-0.003179067067228954,-0.003227618507552639,-0.0004086567321276227
-0.003177937067228955,-0.00288933708207914,-0.0004086567321276227
-0.003176807067228954,-0.003227618507552793,-0.0007474507088438831
-0.003175677067228954,-0.003227618507552793,-0.0007474507088438831
-0.003174547067228954,-0.003227618507552639,-0.001086244685559989
-0.003173417067228955,-0.00288933708207914,-0.0007474507088440372
-0.003172287067228954,-0.002889337082078986,-0.001086244685560143
-0.003171157067228954,-0.002889337082078986,-0.0007474507088438831
-0.003170027067228954,-0.002889337082078986,-0.0004086567321276227
-0.003168897067228955,-0.002889337082078986,-0.0004086567321276227
-0.003167767067228954,-0.002889337082078986,-0.001086244685560143
-0.003166637067228954,-0.00255105565660518,-0.0004086567321276227
-0.003165507067228955,-0.002889337082078833,-0.000747450708843729
-0.003164377067228955,-0.002889337082078986,-0.0004086567321276227
-0.003163247067228954,-0.003227618507552793,-0.0004086567321276227
-0.003162117067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003160987067228955,-0.003565899933026446,-0.0004086567321274686
-0.003159857067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003158727067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003157597067228954,-0.00255105565660518,-0.0004086567321276227
-0.003156467067228955,-0.00255105565660518,-0.0004086567321276227
-0.003155337067228954,-0.00255105565660518,-0.0007474507088438831
-0.003154207067228954,-0.003227618507552793,-0.0007474507088438831
-0.003153077067228954,-0.002889337082078986,-0.0004086567321276227
-0.003151947067228955,-0.002889337082078986,-0.0004086567321276227
-0.003150817067228954,-0.003227618507552793,-0.0007474507088438831
-0.003149687067228954,-0.002889337082078986,-0.001086244685560143
-0.003148557067228954,-0.002551055656605334,-0.000747450708843729
-0.003147427067228955,-0.002889337082078986,-0.0004086567321276227
-0.003146297067228954,-0.002889337082078986,-0.0007474507088438831
-0.003145167067228954,-0.003227618507552793,-0.0004086567321276227
-0.003144037067228954,-0.002551055656605487,-6.986275541167046e-05
-0.003142907067228955,-0.003227618507552793,-0.0007474507088438831
-0.003141777067228954,-0.0035658999330266,-0.0004086567321276227
-0.003140647067228954,-0.003227618507552793,-0.0004086567321276227
-0.003139517067228955,-0.003227618507552793,-0.0004086567321276227
-0.003138387067228954,-0.002889337082078986,-0.0007474507088438831
-0.003137257067228954,-0.002889337082078986,-0.0004086567321276227
-0.003136127067228954,-0.002889337082078986,-0.000747450708843729
-0.003134997067228955,-0.002889337082078986,-0.0004086567321277768
-0.003133867067228954,-0.00255105565660518,-6.986275541136233e-05
-0.003132737067228954,-0.002889337082078986,-0.0004086567321276227
-0.003131607067228954,-0.002889337082078986,-0.0004086567321277768
-0.003130477067228955,-0.002889337082078986,-0.000747450708843729
-0.003129347067228954,-0.003227618507552793,-0.001086244685560143
-0.003128217067228954,-0.003227618507552793,-0.0007474507088438831
-0.003127087067228954,-0.00288933708207914,-0.0004086567321274686
-0.003125957067228955,-0.003227618507552793,-6.986275541136233e-05
-0.003124827067228954,-0.003227618507552793,-0.0004086567321276227
-0.003123697067228954,-0.002889337082078986,-0.0007474507088438831
-0.003122567067228954,-0.00288933708207914,-6.986275541136233e-05
-0.003121437067228955,-0.003227618507552793,-6.986275541136233e-05
-0.003120307067228954,-0.002889337082078986,-0.001425038662276404
-0.003119177067228954,-0.003227618507552793,-0.0007474507088438831
-0.003118047067228955,-0.002551055656605488,-0.0004086567321277768
-0.003116917067228954,-0.00255105565660518,-0.0007474507088438831
-0.003115787067228954,-0.00255105565660518,-0.0004086567321276227
-0.003114657067228954,-0.00288933708207914,-0.0007474507088438831
-0.003113527067228955,-0.003227618507552639,-0.0007474507088438831
-0.003112397067228954,-0.00255105565660518,-0.001086244685560143
-0.003111267067228954,-0.002889337082078986,-0.0007474507088438831
-0.003110137067228954,-0.002551055656605334,-0.000747450708843729
-0.003109007067228955,-0.002889337082078833,-0.0004086567321277768
-0.003107877067228954,-0.002889337082078986,-0.0007474507088438831
-0.003106747067228954,-0.003227618507552793,-0.0007474507088438831
-0.003105617067228954,-0.003227618507552639,-0.000747450708843729
-0.003104487067228955,-0.00288933708207914,-0.0004086567321277768
-0.003103357067228954,-0.002889337082078986,-0.0007474507088438831
-0.003102227067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003101097067228954,-0.002889337082078986,-0.000747450708843575
-0.003099967067228955,-0.002889337082078986,-6.986275541136233e-05
-0.003098837067228954,-0.002889337082078986,-0.0004086567321276227
-0.003097707067228954,-0.003227618507552793,-0.0004086567321276227
-0.003096577067228955,-0.003227618507552793,-0.0004086567321276227
-0.003095447067228954,-0.00255105565660518,-0.0004086567321276227
-0.003094317067228954,-0.00255105565660518,-6.986275541136233e-05
-0.003093187067228954,-0.003227618507552486,-0.0007474507088438831
-0.003092057067228955,-0.002551055656605488,-0.0007474507088438831
-0.003090927067228954,-0.002889337082078986,-0.0007474507088438831
-0.003089797067228954,-0.003227618507552793,-0.0007474507088438831
-0.003088667067228954,-0.002889337082078986,-0.0007474507088440372
-0.003087537067228955,-0.002889337082078986,-0.00108624468555999
-0.003086407067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003085277067228954,-0.002889337082078986,-0.001086244685560143
-0.003084147067228954,-0.002889337082078833,-6.986275541136233e-05
-0.003083017067228955,-0.002551055656605334,-6.986275541136233e-05
-0.003081887067228954,-0.003227618507552793,-0.0004086567321276227
-0.003080757067228954,-0.003227618507552793,-0.001763832638992664
-0.003079627067228954,-0.003227618507552639,-0.001086244685559989
-0.003078497067228955,-0.002889337082078986,-0.0007474507088438831
-0.003077367067228954,-0.00255105565660518,-0.0004086567321276227
-0.003076237067228954,-0.003227618507552793,-0.0007474507088438831
-0.003075107067228955,-0.003227618507552793,-0.0004086567321277768
-0.003073977067228954,-0.00255105565660518,-0.0007474507088438831
-0.003072847067228954,-0.002889337082078986,-0.0004086567321276227
-0.003071717067228954,-0.003227618507552793,-0.0007474507088438831
-0.003070587067228955,-0.003227618507552793,-0.0007474507088438831
-0.003069457067228954,-0.002889337082078986,-0.0004086567321276227
-0.003068327067228954,-0.003227618507552793,-0.0004086567321276227
-0.003067197067228954,-0.003227618507552793,-0.0004086567321274686
-0.003066067067228955,-0.003227618507552793,-6.98627554115164e-05
-0.003064937067228954,-0.003227618507552793,-0.0004086567321276227
-0.003063807067228954,-0.002889337082078986,-0.0007474507088438831
-0.003062677067228954,-0.003227618507552486,-0.0004086567321276227
-0.003061547067228955,-0.002551055656605488,-0.0004086567321276227
-0.003060417067228954,-0.00255105565660518,-0.0004086567321276227
-0.003059287067228954,-0.0035658999330266,-0.0004086567321276227
-0.003058157067228954,-0.00255105565660518,-0.001086244685559681
-0.003057027067228955,-0.00255105565660518,-6.986275541136233e-05
-0.003055897067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003054767067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003053637067228955,-0.003227618507552793,-0.000747450708843575
-0.003052507067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003051377067228954,-0.002889337082078986,-0.0004086567321276227
-0.003050247067228954,-0.002551055656605334,-6.986275541167046e-05
-0.003049117067228955,-0.002889337082078833,-0.000747450708843575
-0.003047987067228954,-0.003227618507552793,-0.0007474507088438831
-0.003046857067228954,-0.003227618507552793,-0.0007474507088438831
-0.003045727067228954,-0.003227618507552793,-6.98627554115164e-05
-0.003044597067228955,-0.003227618507552793,-0.0004086567321274686
-0.003043467067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003042337067228954,-0.002889337082078986,-0.0007474507088438831
-0.003041207067228954,-0.002551055656605334,-0.0004086567321276227
-0.003040077067228955,-0.002889337082078833,-0.0004086567321276227
-0.003038947067228954,-0.002889337082078986,-0.0004086567321276227
-0.003037817067228954,-0.003227618507552793,-0.0007474507088438831
-0.003036687067228954,-0.003227618507552639,-0.0007474507088438831
-0.003035557067228955,-0.002889337082078986,-0.0007474507088438831
-0.003034427067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003033297067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003032167067228955,-0.002889337082078986,-6.986275541136233e-05
-0.003031037067228954,-0.0035658999330266,-6.986275541136233e-05
-0.003029907067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003028777067228954,-0.00288933708207914,-6.986275541136233e-05
-0.003027647067228955,-0.003227618507552639,-6.986275541136233e-05
-0.003026517067228954,-0.003227618507552793,-0.0004086567321276227
-0.003025387067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003024257067228954,-0.003227618507552639,-6.986275541167046e-05
-0.003023127067228955,-0.00288933708207914,-0.000747450708843575
-0.003021997067228954,-0.002889337082078986,-0.0004086567321276227
-0.003020867067228954,-0.003227618507552793,-0.0004086567321276227
-0.003019737067228954,-0.002889337082078833,-0.0004086567321277768
-0.003018607067228955,-0.002551055656605334,-0.000747450708843729
-0.003017477067228954,-0.002889337082078986,-0.001086244685560143
-0.003016347067228954,-0.00255105565660518,-0.001086244685560143
-0.003015217067228954,-0.003227618507552793,-0.0004086567321276227
-0.003014087067228955,-0.003227618507552793,-0.0004086567321276227
-0.003012957067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003011827067228954,-0.002889337082078986,-6.986275541136233e-05
-0.003010697067228955,-0.003227618507552639,-0.000747450708843575
-0.003009567067228954,-0.003227618507552793,-6.986275541136233e-05
-0.003008437067228954,-0.003227618507552793,-0.0007474507088438831
-0.003007307067228954,-0.003227618507552639,-6.98627554115164e-05
-0.003006177067228955,-0.00288933708207914,-0.0004086567321274686
-0.003005047067228954,-0.002889337082078986,-0.0007474507088438831
-0.003003917067228954,-0.002889337082078986,-0.0004086567321276227
-0.003002787067228954,-0.00288933708207914,-0.000747450708843575
-0.003001657067228955,-0.003227618507552639,-6.986275541167046e-05
-0.003000527067228954,-0.0035658999330266,-0.0004086567321276227
-0.002999397067228954,-0.0035658999330266,-0.0007474507088438831
-0.002998267067228954,-0.002551055656605334,-6.98627554115164e-05
-0.002997137067228955,-0.002889337082078833,-0.0004086567321274686
-0.002996007067228954,-0.002889337082078986,-0.0007474507088438831
-0.002994877067228954,-0.003227618507552793,-6.986275541136233e-05
-0.002993747067228954,-0.003227618507552793,-6.986275541136233e-05
-0.002992617067228955,-0.003227618507552793,-6.986275541136233e-05
-0.002991487067228954,-0.00255105565660518,-6.986275541136233e-05
-0.002990357067228954,-0.002889337082078986,-6.986275541136233e-05
-0.002989227067228955,-0.002889337082078986,-0.0004086567321274686
-0.002988097067228954,-0.003227618507552793,-0.0004086567321276227
-0.002986967067228954,-0.002889337082078986,-0.0007474507088438831
-0.002985837067228954,-0.003227618507552639,-0.000747450708843575
-0.002984707067228955,-0.00288933708207914,-6.986275541167046e-05
-0.002983577067228954,-0.00255105565660518,0.000268931221304898
-0.002982447067228954,-0.00255105565660518,-0.0004086567321276227
-0.002981317067228954,-0.002889337082078986,-0.0004086567321274686
