#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD1806
#Date Time: 2023-10-20 19:25:08.829
#Sample rate: 884956Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 35 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 8 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 35 mV Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.003196841025562288,-0.002059935134103241,-0.004474184452722751
-0.003195711025562287,-0.002059935134103395,-0.004474184452722905
-0.003194581025562288,-0.002398216559576894,-0.004812978429438857
-0.003193451025562288,-0.002059935134103241,-0.00413539047600649
-0.003192321025562288,-0.001721653708629434,-0.00413539047600649
-0.003191191025562287,-0.002398216559577202,-0.004812978429438857
-0.003190061025562288,-0.002736497985050854,-0.004474184452722751
-0.003188931025562288,-0.002736497985050854,-0.005151772406155272
-0.003187801025562288,-0.002736497985050854,-0.00413539047600649
-0.003186671025562288,-0.001721653708629895,-0.00413539047600649
-0.003185541025562288,-0.002398216559577048,-0.004474184452722751
-0.003184411025562288,-0.002059935134103241,-0.00413539047600649
-0.003183281025562288,-0.002398216559577048,-0.004474184452722751
-0.003182151025562288,-0.0027364979850507,-0.004474184452722751
-0.003181021025562288,-0.002398216559577048,-0.004474184452722751
-0.003179891025562288,-0.003074779410524661,-0.004812978429439011
-0.003178761025562288,-0.002736497985050547,-0.004135390476006645
-0.003177631025562288,-0.002059935134103549,-0.004474184452722596
-0.003176501025562288,-0.002398216559577048,-0.004812978429439011
-0.003175371025562288,-0.002398216559577048,-0.004474184452722751
-0.003174241025562287,-0.002398216559577048,-0.004812978429439011
-0.003173111025562288,-0.002398216559577048,-0.004812978429439011
-0.003171981025562288,-0.002398216559577048,-0.004812978429439011
-0.003170851025562288,-0.002059935134103241,-0.004812978429439011
-0.003169721025562287,-0.002059935134103241,-0.004812978429439011
-0.003168591025562288,-0.002059935134103241,-0.004812978429439011
-0.003167461025562288,-0.001721653708629434,-0.004474184452722751
-0.003166331025562288,-0.002059935134103241,-0.004474184452722751
-0.003165201025562288,-0.002059935134103241,-0.004474184452722751
-0.003164071025562288,-0.002059935134103241,-0.00413539047600649
-0.003162941025562288,-0.001721653708629434,-0.00413539047600649
-0.003161811025562288,-0.002398216559577048,-0.005151772406155272
-0.003160681025562288,-0.002398216559577048,-0.004474184452723059
-0.003159551025562288,-0.002059935134103241,-0.004474184452722751
-0.003158421025562288,-0.002398216559577048,-0.004812978429439011
-0.003157291025562288,-0.002059935134103395,-0.004812978429438857
-0.003156161025562288,-0.002398216559576894,-0.004474184452722905
-0.003155031025562288,-0.002398216559577048,-0.004812978429439011
-0.003153901025562288,-0.002059935134103241,-0.004812978429439011
-0.003152771025562287,-0.002398216559577048,-0.005151772406155272
-0.003151641025562288,-0.002398216559577048,-0.005151772406155272
-0.003150511025562288,-0.002398216559577048,-0.004812978429439011
-0.003149381025562288,-0.002736497985050854,-0.004812978429439011
-0.003148251025562287,-0.002398216559577048,-0.004474184452722905
-0.003147121025562288,-0.002398216559577048,-0.004812978429439011
-0.003145991025562288,-0.002398216559577048,-0.005151772406155272
-0.003144861025562288,-0.002398216559577048,-0.005490566382871532
-0.003143731025562287,-0.002059935134103395,-0.005151772406155117
-0.003142601025562288,-0.002398216559577048,-0.004812978429439011
-0.003141471025562288,-0.002059935134103241,-0.004812978429439011
-0.003140341025562288,-0.002059935134103241,-0.005490566382871532
-0.003139211025562288,-0.002398216559576894,-0.005490566382871532
-0.003138081025562288,-0.001721653708629434,-0.004812978429439011
-0.003136951025562288,-0.002059935134103241,-0.005151772406155272
-0.003135821025562288,-0.002398216559576894,-0.004812978429438857
-0.003134691025562288,-0.002059935134103395,-0.004474184452722905
-0.003133561025562288,-0.002398216559577048,-0.004474184452722751
-0.003132431025562288,-0.001721653708629434,-0.004812978429439011
-0.003131301025562287,-0.001721653708629588,-0.004812978429438857
-0.003130171025562288,-0.002059935134103087,-0.004474184452722905
-0.003129041025562288,-0.001383372283155627,-0.005151772406155272
-0.003127911025562288,-0.002398216559577048,-0.004474184452722751
-0.003126781025562287,-0.002398216559576894,-0.004812978429438857
-0.003125651025562288,-0.002059935134103241,-0.004474184452722751
-0.003124521025562288,-0.002059935134103241,-0.004812978429439011
-0.003123391025562288,-0.002059935134103241,-0.00413539047600649
-0.003122261025562287,-0.002059935134103241,-0.004135390476006645
-0.003121131025562288,-0.002059935134103241,-0.004474184452722751
-0.003120001025562288,-0.002059935134103241,-0.00413539047600649
-0.003118871025562288,-0.002059935134103241,-0.00413539047600649
-0.003117741025562288,-0.002398216559576894,-0.004474184452722596
-0.003116611025562288,-0.002398216559577048,-0.004812978429439011
