#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD1806
#Date Time: 2023-12-07 19:51:37.667
#Sample rate: 884956Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 135 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 8 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 35 mV Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.003197900400562288,-0.01356150360021267,-0.0004086567321276227
-0.003196770400562288,-0.01389978502568648,-0.0004086567321277768
-0.003195640400562288,-0.01389978502568648,-0.000747450708843729
-0.003194510400562288,-0.01389978502568648,-0.0004086567321276227
-0.003193380400562288,-0.01356150360021267,-6.986275541136233e-05
-0.003192250400562288,-0.01356150360021267,-0.0004086567321276227
-0.003191120400562288,-0.01356150360021267,-0.0004086567321276227
-0.003189990400562288,-0.01389978502568648,-0.0004086567321276227
-0.003188860400562288,-0.01389978502568648,-0.0004086567321276227
-0.003187730400562288,-0.01389978502568648,-0.0004086567321276227
-0.003186600400562288,-0.01389978502568648,-0.0004086567321276227
-0.003185470400562288,-0.01356150360021267,-0.001086244685560143
-0.003184340400562288,-0.01389978502568648,-0.001086244685560143
-0.003183210400562288,-0.01356150360021282,-0.0007474507088440372
-0.003182080400562288,-0.01322322217473886,-0.0007474507088438831
-0.003180950400562288,-0.01389978502568648,-0.001086244685560143
-0.003179820400562288,-0.01389978502568632,-0.0004086567321277768
-0.003178690400562288,-0.01356150360021282,-0.000747450708843729
-0.003177560400562288,-0.01356150360021267,-0.0007474507088438831
-0.003176430400562288,-0.01389978502568648,-0.0007474507088438831
-0.003175300400562288,-0.01356150360021282,-6.986275541167046e-05
-0.003174170400562288,-0.01389978502568632,-0.000747450708843575
-0.003173040400562288,-0.01389978502568648,-0.0007474507088438831
-0.003171910400562288,-0.01356150360021267,-0.0007474507088438831
-0.003170780400562288,-0.01389978502568648,-0.000747450708843729
-0.003169650400562288,-0.01389978502568648,-0.0004086567321276227
-0.003168520400562288,-0.01356150360021267,-6.986275541136233e-05
-0.003167390400562288,-0.01389978502568648,-6.986275541136233e-05
-0.003166260400562288,-0.01389978502568648,-0.0004086567321274686
-0.003165130400562288,-0.01389978502568648,-0.0004086567321276227
-0.003164000400562288,-0.01356150360021267,-0.0004086567321276227
-0.003162870400562288,-0.01389978502568648,-0.0007474507088438831
-0.003161740400562288,-0.01356150360021282,-0.0004086567321277768
-0.003160610400562288,-0.01356150360021267,-0.0004086567321276227
-0.003159480400562288,-0.01389978502568648,-0.0004086567321276227
-0.003158350400562288,-0.01389978502568632,-0.0007474507088438831
-0.003157220400562288,-0.01356150360021282,-0.0007474507088438831
-0.003156090400562288,-0.01322322217473886,-0.0007474507088438831
-0.003154960400562288,-0.01389978502568648,-6.986275541136233e-05
-0.003153830400562288,-0.01389978502568648,-0.0004086567321276227
-0.003152700400562288,-0.01389978502568648,-0.0004086567321276227
-0.003151570400562288,-0.01389978502568648,-0.0004086567321276227
-0.003150440400562288,-0.01389978502568648,-0.0007474507088438831
-0.003149310400562288,-0.01389978502568648,-0.0004086567321276227
-0.003148180400562288,-0.01389978502568648,-0.0004086567321276227
-0.003147050400562288,-0.01389978502568648,-0.0004086567321276227
-0.003145920400562288,-0.01389978502568648,-0.0004086567321276227
-0.003144790400562288,-0.01423806645116013,-0.0007474507088438831
-0.003143660400562288,-0.01389978502568648,-0.0007474507088438831
-0.003142530400562288,-0.01389978502568648,-0.0007474507088438831
-0.003141400400562288,-0.01389978502568648,-0.0007474507088438831
-0.003140270400562288,-0.01389978502568648,-0.00108624468555999
-0.003139140400562288,-0.01389978502568648,-0.001086244685560143
-0.003138010400562288,-0.01389978502568648,-0.001086244685560143
-0.003136880400562288,-0.01356150360021267,-0.0007474507088438831
-0.003135750400562288,-0.01356150360021267,-0.0007474507088438831
-0.003134620400562288,-0.01389978502568648,-0.0007474507088438831
-0.003133490400562288,-0.01423806645116028,-0.0004086567321276227
-0.003132360400562288,-0.01389978502568632,-0.0007474507088441912
-0.003131230400562288,-0.01356150360021282,-0.001425038662276096
-0.003130100400562288,-0.01356150360021267,-0.001086244685560143
-0.003128970400562288,-0.01356150360021267,-0.0004086567321276227
-0.003127840400562288,-0.01389978502568632,-0.001086244685560143
-0.003126710400562288,-0.01356150360021267,-0.001086244685560143
-0.003125580400562288,-0.01389978502568648,-0.0007474507088438831
-0.003124450400562288,-0.01423806645116028,-0.001086244685560143
-0.003123320400562288,-0.01457634787663394,-0.001086244685560298
-0.003122190400562288,-0.01423806645116028,-0.001425038662276404
-0.003121060400562288,-0.01389978502568648,-0.0007474507088438831
-0.003119930400562288,-0.01389978502568648,-0.0007474507088438831
-0.003118800400562288,-0.01389978502568648,-0.0004086567321277768
-0.003117670400562288,-0.01389978502568648,-0.0004086567321276227
-0.003116540400562288,-0.01389978502568648,-0.0007474507088438831
-0.003115410400562288,-0.01356150360021282,-0.001086244685560143
-0.003114280400562288,-0.01389978502568632,-0.001086244685560143
-0.003113150400562288,-0.01389978502568648,-0.0004086567321276227
-0.003112020400562288,-0.01389978502568648,-0.0007474507088438831
-0.003110890400562288,-0.01423806645116013,-0.0007474507088438831
-0.003109760400562288,-0.01389978502568663,-0.0007474507088438831
-0.003108630400562288,-0.01389978502568648,-0.001086244685560143
-0.003107500400562288,-0.01389978502568648,-0.001086244685560143
-0.003106370400562288,-0.01389978502568648,-0.0007474507088440372
-0.003105240400562288,-0.01389978502568648,-0.00108624468555999
-0.003104110400562288,-0.01356150360021267,-0.001086244685560143
-0.003102980400562288,-0.01423806645116028,-0.001425038662276404
-0.003101850400562288,-0.01389978502568648,-0.001425038662275942
-0.003100720400562288,-0.01389978502568648,-0.0004086567321276227
-0.003099590400562288,-0.01423806645116028,-0.0004086567321276227
-0.003098460400562288,-0.01389978502568648,-0.0007474507088438831
-0.003097330400562288,-0.01389978502568648,-0.00108624468555999
-0.003096200400562288,-0.01389978502568648,-0.001086244685560143
-0.003095070400562288,-0.01389978502568648,-0.0007474507088438831
-0.003093940400562288,-0.01389978502568648,-0.001086244685559989
-0.003092810400562288,-0.01389978502568648,-0.0007474507088440372
-0.003091680400562288,-0.01423806645116028,-0.0007474507088438831
-0.003090550400562288,-0.01389978502568648,-0.0004086567321276227
-0.003089420400562288,-0.01423806645116044,-0.0007474507088438831
-0.003088290400562288,-0.01457634787663394,-0.0007474507088438831
-0.003087160400562288,-0.01423806645116028,-0.001086244685560143
-0.003086030400562288,-0.01389978502568648,-0.001086244685560143
-0.003084900400562288,-0.01423806645116028,-0.0007474507088438831
-0.003083770400562288,-0.01423806645116028,-0.0007474507088438831
-0.003082640400562288,-0.01356150360021267,-0.0004086567321276227
-0.003081510400562288,-0.01322322217473886,-0.0007474507088438831
-0.003080380400562288,-0.01389978502568648,-0.0007474507088440372
-0.003079250400562288,-0.01389978502568648,-0.001086244685560143
-0.003078120400562288,-0.01356150360021267,-0.0007474507088438831
-0.003076990400562288,-0.01356150360021267,-0.0007474507088438831
-0.003075860400562288,-0.01389978502568632,-0.0007474507088438831
-0.003074730400562288,-0.01389978502568648,-0.001086244685560143
-0.003073600400562288,-0.01356150360021267,-0.0007474507088438831
-0.003072470400562288,-0.01389978502568648,-0.0004086567321279308
-0.003071340400562288,-0.01389978502568648,-0.001086244685559835
-0.003070210400562288,-0.01389978502568648,-0.001086244685560143
-0.003069080400562288,-0.01423806645116028,-0.0007474507088438831
-0.003067950400562288,-0.01423806645116028,-0.001086244685560143
-0.003066820400562288,-0.01423806645116028,-0.001086244685560143
-0.003065690400562288,-0.01389978502568648,-6.986275541136233e-05
-0.003064560400562288,-0.01389978502568648,-0.0004086567321276227
-0.003063430400562288,-0.01356150360021282,-0.0004086567321276227
-0.003062300400562288,-0.01389978502568632,-0.0004086567321276227
-0.003061170400562288,-0.01389978502568648,-0.0004086567321276227
-0.003060040400562288,-0.01356150360021267,-0.0007474507088438831
-0.003058910400562288,-0.01389978502568648,-0.001086244685560143
-0.003057780400562288,-0.01389978502568648,-0.001086244685560143
-0.003056650400562288,-0.01389978502568648,-0.001086244685560143
-0.003055520400562288,-0.01423806645116028,-0.0007474507088438831
-0.003054390400562288,-0.01389978502568663,-0.0007474507088438831
-0.003053260400562288,-0.01423806645116028,-0.0007474507088438831
-0.003052130400562288,-0.01423806645116028,-0.0007474507088438831
-0.003051000400562288,-0.01423806645116044,-0.0007474507088438831
