#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD1806
#Date Time: 2023-11-21 13:47:37.973
#Sample rate: 884956Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 135 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 18 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 35 mV Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.003197674400562288,-0.001412583161219973,-0.0004086567321276227
-0.003196544400562287,-0.001412583161220127,-6.986275541136233e-05
-0.003195414400562288,-0.001750864586693628,-6.986275541136233e-05
-0.003194284400562288,-0.001412583161219973,-0.0007474507088438831
-0.003193154400562287,-0.001074301735746169,-0.0007474507088438831
-0.003192024400562287,-0.001074301735746322,-0.0007474507088440372
-0.003190894400562288,-0.001412583161219973,-0.001086244685560143
-0.003189764400562288,-0.001750864586693782,-0.001086244685560143
-0.003188634400562287,-0.001412583161219973,-0.0007474507088438831
-0.003187504400562288,-0.000736020310272668,-0.0004086567321277768
-0.003186374400562288,-0.001412583161219973,-0.0004086567321276227
-0.003185244400562288,-0.001412583161219973,-0.0004086567321276227
-0.003184114400562287,-0.001074301735746169,-0.0004086567321276227
-0.003182984400562288,-0.001412583161219819,-0.0004086567321276227
-0.003181854400562288,-0.001074301735746169,-0.0007474507088438831
-0.003180724400562288,-0.001412583161219973,-0.0004086567321276227
-0.003179594400562287,-0.001412583161219973,-0.0004086567321274686
-0.003178464400562288,-0.001412583161219973,-6.98627554115164e-05
-0.003177334400562288,-0.001412583161219973,-0.0007474507088438831
-0.003176204400562288,-0.001412583161219973,-0.0007474507088438831
-0.003175074400562287,-0.001074301735746322,-0.0007474507088438831
-0.003173944400562288,-0.001412583161219819,-0.0007474507088438831
-0.003172814400562288,-0.001750864586693782,-0.001086244685560143
-0.003171684400562287,-0.001074301735746169,-0.001086244685560143
-0.003170554400562287,-0.001074301735746169,-0.001086244685560143
-0.003169424400562288,-0.001074301735746169,-0.001086244685560143
-0.003168294400562288,-0.0007360203102723603,-0.0007474507088438831
-0.003167164400562287,-0.001074301735746169,-0.0004086567321276227
-0.003166034400562288,-0.001412583161219819,-0.001086244685559835
-0.003164904400562288,-0.001750864586693782,-0.0007474507088438831
-0.003163774400562288,-0.001750864586693782,-0.0007474507088438831
-0.003162644400562287,-0.001074301735746169,-0.0004086567321276227
-0.003161514400562288,-0.001412583161219819,-0.0004086567321276227
-0.003160384400562288,-0.001074301735746169,-0.0004086567321276227
-0.003159254400562288,-0.001412583161219973,-0.0004086567321276227
-0.003158124400562287,-0.00141258316121982,-0.000747450708843729
-0.003156994400562288,-0.001074301735746323,-0.0004086567321277768
-0.003155864400562288,-0.001074301735746169,-0.001086244685560143
-0.003154734400562288,-0.001750864586693782,-0.0007474507088438831
-0.003153604400562287,-0.00141258316121982,-0.001086244685560143
-0.003152474400562288,-0.001074301735746323,-0.001086244685560143
-0.003151344400562288,-0.001412583161219973,-0.0004086567321276227
-0.003150214400562287,-0.001412583161219973,-0.0004086567321276227
-0.003149084400562287,-0.00141258316121982,-0.0007474507088438831
-0.003147954400562288,-0.001074301735746169,-0.0007474507088438831
-0.003146824400562288,-0.001412583161219973,-0.0004086567321276227
-0.003145694400562287,-0.001412583161219973,-0.0007474507088438831
-0.003144564400562287,-0.001412583161219973,-0.0004086567321276227
-0.003143434400562288,-0.001412583161219973,-0.0004086567321276227
-0.003142304400562288,-0.001750864586693782,-0.0007474507088438831
-0.003141174400562287,-0.001074301735746169,-0.0004086567321276227
-0.003140044400562288,-0.001412583161219819,-0.001086244685559835
-0.003138914400562288,-0.001412583161219973,-0.001086244685560143
-0.003137784400562288,-0.0007360203102723603,-6.986275541136233e-05
-0.003136654400562287,-0.001412583161220127,-6.986275541167046e-05
-0.003135524400562288,-0.001750864586693628,-0.000747450708843575
-0.003134394400562288,-0.001412583161219973,-0.001086244685560143
-0.003133264400562288,-0.001750864586693782,-0.0007474507088438831
-0.003132134400562287,-0.001074301735746015,-0.0007474507088438831
-0.003131004400562288,-0.0007360203102725142,-0.0007474507088438831
-0.003129874400562288,-0.001412583161219973,-0.001086244685560143
-0.003128744400562287,-0.001074301735746169,-0.001086244685560143
-0.003127614400562287,-0.001412583161219973,-0.000747450708843575
-0.003126484400562288,-0.001412583161219973,-6.986275541136233e-05
-0.003125354400562288,-0.001074301735746169,-0.0004086567321276227
-0.003124224400562287,-0.001074301735746169,-0.001086244685560143
-0.003123094400562287,-0.001074301735746169,-0.0004086567321276227
-0.003121964400562288,-0.001074301735746169,-0.0004086567321276227
-0.003120834400562288,-0.001412583161219973,-0.0004086567321276227
-0.003119704400562287,-0.001074301735746169,-0.0007474507088438831
-0.003118574400562288,-0.001412583161219819,-0.00108624468555999
-0.003117444400562288,-0.001412583161219973,-0.001086244685560143
-0.003116314400562288,-0.001412583161219973,-0.001086244685560143
-0.003115184400562287,-0.001750864586693628,-0.001086244685560143
-0.003114054400562288,-0.001412583161220127,-0.001086244685560143
-0.003112924400562288,-0.001412583161219973,-0.0004086567321276227
-0.003111794400562288,-0.0007360203102723603,-0.0007474507088438831
-0.003110664400562287,-0.001074301735746169,-0.000747450708843729
-0.003109534400562288,-0.001074301735746169,-0.0004086567321277768
-0.003108404400562288,-0.001412583161219973,0.000268931221304898
-0.003107274400562287,-0.001074301735746169,-0.0004086567321276227
-0.003106144400562287,-0.001412583161219973,-0.0007474507088438831
-0.003105014400562288,-0.001412583161219973,-0.0007474507088438831
-0.003103884400562288,-0.001074301735746169,-0.0007474507088438831
-0.003102754400562287,-0.001412583161219973,-0.0007474507088438831
-0.003101624400562287,-0.001412583161219973,-0.000747450708843729
-0.003100494400562288,-0.001412583161219973,-0.0004086567321276227
